fullname,first_name,last_name,username,gender,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
Rozanna Laguerre,Rozanna,Laguerre,rlaguerreqi,Female,433,4,0,433,0,0,0,0,0
Horacio McCart,Horacio,McCart,hmccartqr,Male,253,300,31,229,22,1,1,0,0
Washington Attrill,Washington,Attrill,wattrillk7,Male,109,202,167,75,32,0,2,0,0
Dorene Rait,Dorene,Rait,draitq3,Female,0,0,0,0,0,0,0,0,0
Michele Pickton,Michele,Pickton,mpickton4r,Male,150,388,201,98,47,0,4,0,1
Fax Crady,Fax,Crady,fcradyje,Male,199,1805,167,168,24,4,1,2,0
Andria Burfoot,Andria,Burfoot,aburfootkv,Female,303,714,52,241,58,3,1,0,0
Leann Shelton,Leann,Shelton,lsheltonkj,Female,145,746,61,113,31,0,1,0,0
Mikol Buston,Mikol,Buston,mbuston5u,Male,65,2,4,65,0,0,0,0,0
Ernaline O'Doran,Ernaline,O'Doran,eodoranqv,Female,2,0,0,2,0,0,0,0,0
Emmie Rogans,Emmie,Rogans,erogansb0,Female,186,398,302,145,35,3,3,0,0
Wilhelm Ciciotti,Wilhelm,Ciciotti,wciciotti4k,Male,543,2041,476,445,87,3,8,0,0
Ferrel Drewell,Ferrel,Drewell,fdrewelllx,Male,154,0,0,154,0,0,0,0,0
Meggi Luxen,Meggi,Luxen,mluxen4x,Female,160,326,300,127,32,1,0,0,0
Batsheva Valenta,Batsheva,Valenta,bvalenta80,Female,306,4444,329,265,28,1,11,1,0
Lori Auld,Lori,Auld,lauldrd,Female,131,566,43,107,18,1,4,1,0
Menard Hammon,Menard,Hammon,mhammonjn,Male,22,4,0,21,1,0,0,0,0
Barbi Marples,Barbi,Marples,bmarplesb6,Female,239,408,162,168,68,1,1,0,1
Mendie Raine,Mendie,Raine,mrainefg,Male,239,548,188,139,96,0,4,0,0
Bertrando Rajchert,Bertrando,Rajchert,brajchert5s,Male,229,1005,227,146,80,2,1,0,0
Iosep Miche,Iosep,Miche,imichebs,Male,103,440,69,80,20,1,1,0,1
Danica Hayford,Danica,Hayford,dhayfordmg,Female,39,237,16,34,5,0,0,0,0
Luce Kohn,Luce,Kohn,lkohn9,Female,2,0,0,2,0,0,0,0,0
Bel Domanek,Bel,Domanek,bdomanekoc,Female,155,375,233,112,41,0,2,0,0
Harli Djurdjevic,Harli,Djurdjevic,hdjurdjevic6c,Female,32,0,2,32,0,0,0,0,0
Minny Gibson,Minny,Gibson,mgibson4w,Female,1,0,0,1,0,0,0,0,0
Lea Mechic,Lea,Mechic,lmechichj,Female,1,0,0,1,0,0,0,0,0
Selig Trengrove,Selig,Trengrove,strengroveh4,Male,101,2,10,100,1,0,0,0,0
Lina Walesa,Lina,Walesa,lwalesaei,Female,1615,1497,550,1309,263,15,22,4,2
Yasmin Stratley,Yasmin,Stratley,ystratley9f,Female,616,11,0,616,0,0,0,0,0
Allegra O'Dea,Allegra,O'Dea,aodeaj8,Female,12,2,0,12,0,0,0,0,0
Rockey Hedgeley,Rockey,Hedgeley,rhedgeley36,Male,543,17,11,543,0,0,0,0,0
Edeline Goodding,Edeline,Goodding,egooddingjt,Female,544,19,0,544,0,0,0,0,0
Mariel Esberger,Mariel,Esberger,mesberger4q,Female,35,1,0,35,0,0,0,0,0
Evangeline Zamora,Evangeline,Zamora,ezamora75,Female,302,794,243,225,70,5,1,0,1
Crysta Sanday,Crysta,Sanday,csanday1g,Female,172,7,7,163,6,2,1,0,0
Yolanda Stoacley,Yolanda,Stoacley,ystoacleyjs,Female,1201,86,3,1201,0,0,0,0,0
Nalani Kirkness,Nalani,Kirkness,nkirknessb7,Female,885,462,26,659,220,0,2,0,0
Alan Lafuente,Alan,Lafuente,alafuenteci,Male,30,0,9,29,1,0,0,0,0
Paxon Nutty,Paxon,Nutty,pnuttydo,Male,8,0,0,8,0,0,0,0,0
Lindsy Huckstepp,Lindsy,Huckstepp,lhuckstepp75,Female,178,1320,169,89,83,4,2,0,0
Caria Ivanusyev,Caria,Ivanusyev,civanusyevjc,Female,0,0,0,0,0,0,0,0,0
Sutton McKag,Sutton,McKag,smckag1y,Male,258,470,235,139,117,1,1,0,0
See Hindmore,See,Hindmore,shindmoremz,Male,59,444,23,48,8,0,3,0,0
Wakefield Franchyonok,Wakefield,Franchyonok,wfranchyonokkq,Male,7,3,1,7,0,0,0,0,0
Van Jahnisch,Van,Jahnisch,vjahnisch1s,Male,627,266,8,519,105,2,0,1,0
Maximilien Gamlin,Maximilien,Gamlin,mgamlinpr,Male,226,4336,183,186,25,3,10,2,0
Inesita Hynam,Inesita,Hynam,ihynamgw,Female,126,1,6,125,1,0,0,0,0
Adriano Probert,Adriano,Probert,aprobertc7,Male,1,1,0,1,0,0,0,0,0
Meridel Dench,Meridel,Dench,mdenchcf,Female,399,34,4,399,0,0,0,0,0
Mycah Eyree,Mycah,Eyree,meyree27,Male,1,0,0,1,0,0,0,0,0
Tamera Spoward,Tamera,Spoward,tspowardlv,Female,1,0,0,1,0,0,0,0,0
Wallache Hewertson,Wallache,Hewertson,whewertson3e,Male,3,0,0,3,0,0,0,0,0
Gilli Novello,Gilli,Novello,gnovellogp,Female,220,52,1,193,25,0,1,1,0
Melantha Mellings,Melantha,Mellings,mmellings7b,Female,150,559,38,133,16,1,0,0,0
Jasun Sedgemore,Jasun,Sedgemore,jsedgemorecz,Male,1959,6174,1330,1737,202,9,5,1,5
Valma Marklin,Valma,Marklin,vmarklinj4,Female,150,14,0,141,9,0,0,0,0
Bekki Studde,Bekki,Studde,bstudde3o,Female,68,240,20,53,14,0,1,0,0
Marla Dirkin,Marla,Dirkin,mdirkinq9,Female,355,4,29,355,0,0,0,0,0
Towny Botham,Towny,Botham,tbothamnb,Male,202,145,23,182,19,0,0,0,1
Rocky Monro,Rocky,Monro,rmonrol3,Male,5,0,0,4,1,0,0,0,0
Craggy Akerman,Craggy,Akerman,cakermanic,Male,95,831,87,86,7,1,0,1,0
Arney Clarabut,Arney,Clarabut,aclarabut3y,Male,0,0,0,0,0,0,0,0,0
Constantine Jannex,Constantine,Jannex,cjannex2w,Male,2,0,1,2,0,0,0,0,0
Hi Ruddoch,Hi,Ruddoch,hruddoch12,Male,358,19,1,358,0,0,0,0,0
Jackson Warke,Jackson,Warke,jwarkeik,Male,295,1066,254,212,79,0,3,0,1
Vince Heugel,Vince,Heugel,vheugel1w,Male,479,18,1,479,0,0,0,0,0
Mortimer MacDermid,Mortimer,MacDermid,mmacdermidc7,Male,416,7208,509,365,41,4,2,4,0
Torry McKay,Torry,McKay,tmckayd8,Male,173,1214,244,106,64,1,2,0,0
Allie Beaten,Allie,Beaten,abeatenpw,Female,288,3287,228,241,31,4,12,0,0
Nate Marciskewski,Nate,Marciskewski,nmarciskewski8x,Male,241,336,432,205,33,1,1,1,0
Selby Palomba,Selby,Palomba,spalomba2i,Male,330,18,0,330,0,0,0,0,0
Connie Markl,Connie,Markl,cmarklnh,Female,22,2,1,22,0,0,0,0,0
Percival Rattenberie,Percival,Rattenberie,prattenberie4l,Male,247,4255,572,204,37,1,3,2,0
Noby Hurle,Noby,Hurle,nhurle82,Male,1120,909,601,960,150,4,3,0,3
Berkley Yearnsley,Berkley,Yearnsley,byearnsley6o,Male,119,841,103,88,31,0,0,0,0
Holly-anne Burkinshaw,Holly-anne,Burkinshaw,hburkinshaw85,Female,157,124,1,157,0,0,0,0,0
Griffith Cheyne,Griffith,Cheyne,gcheyne61,Male,391,6407,174,340,36,4,9,2,0
Teri Houlridge,Teri,Houlridge,thoulridgeqq,Female,210,9,0,210,0,0,0,0,0
Amalie Bullin,Amalie,Bullin,abullinnc,Female,10,1,0,10,0,0,0,0,0
Fredrika Gilbee,Fredrika,Gilbee,fgilbeefn,Female,113,525,124,92,18,3,0,0,0
Claudette Derisley,Claudette,Derisley,cderisleyp6,Female,1,0,0,1,0,0,0,0,0
Marlena Snaden,Marlena,Snaden,msnaden13,Female,107,1,2,107,0,0,0,0,0
Selia Vannuccini,Selia,Vannuccini,svannuccini28,Female,981,32,6,981,0,0,0,0,0
Alysa Callister,Alysa,Callister,acallisteroq,Female,185,1835,312,116,54,1,14,0,0
Michel Gioan,Michel,Gioan,mgioandm,Female,166,1834,335,137,22,2,4,0,1
Ricki Gallifont,Ricki,Gallifont,rgallifont3n,Male,122,524,100,101,21,0,0,0,0
Casey Ainsbury,Casey,Ainsbury,cainsbury53,Male,4,0,1,4,0,0,0,0,0
Frederick Tomanek,Frederick,Tomanek,ftomanek67,Male,264,4615,199,217,42,4,1,0,0
Allyn Thackeray,Allyn,Thackeray,athackeray88,Male,6,0,0,6,0,0,0,0,0
Zebedee Spat,Zebedee,Spat,zspat12,Male,265,637,63,218,46,0,0,1,0
Claus Smiths,Claus,Smiths,csmithsbu,Male,296,1756,422,136,151,1,6,1,1
Yurik Jachimczak,Yurik,Jachimczak,yjachimczak3r,Male,279,292,34,254,20,3,1,1,0
Carolan Warre,Carolan,Warre,cwarre5q,Female,51,0,14,51,0,0,0,0,0
Krisha Klimkov,Krisha,Klimkov,kklimkov3x,Male,4,0,0,4,0,0,0,0,0
Mureil Trembey,Mureil,Trembey,mtrembeyro,Female,38,7,1,38,0,0,0,0,0
Rockwell Ellicott,Rockwell,Ellicott,rellicott56,Male,24,0,0,24,0,0,0,0,0
Andeee Sikorski,Andeee,Sikorski,asikorskikh,Female,174,346,115,106,65,0,3,0,0
Minnnie Crispin,Minnnie,Crispin,mcrispinli,Female,10,0,0,10,0,0,0,0,0
Madlin Cumberledge,Madlin,Cumberledge,mcumberledgegn,Female,221,290,66,174,45,1,1,0,0
Delcine Rounds,Delcine,Rounds,droundsok,Female,171,292,28,150,19,1,1,0,0
Ennis Radmer,Ennis,Radmer,eradmerpl,Male,61,278,13,53,8,0,0,0,0
Theressa Dawton,Theressa,Dawton,tdawtonrc,Female,104,299,136,61,40,0,2,0,1
Fletch Tapscott,Fletch,Tapscott,ftapscott4g,Male,572,6,2,572,0,0,0,0,0
Loleta Van Vuuren,Loleta,Van Vuuren,lvan9h,Female,265,708,33,190,70,1,4,0,0
Merwyn Philps,Merwyn,Philps,mphilps59,Male,326,970,63,260,62,2,2,0,0
Clint Codner,Clint,Codner,ccodner4z,Male,32,0,12,32,0,0,0,0,0
Petronella Whitfield,Petronella,Whitfield,pwhitfieldhc,Female,139,27,0,125,12,2,0,0,0
Willi Basketfield,Willi,Basketfield,wbasketfieldoh,Male,1211,84,8,1211,0,0,0,0,0
Margy Kerman,Margy,Kerman,mkerman9r,Female,228,1030,192,149,62,0,6,10,1
Clary Robben,Clary,Robben,crobben8k,Female,316,1080,194,177,135,1,2,0,1
Waverley Lieber,Waverley,Lieber,wlieberhn,Male,5,0,0,5,0,0,0,0,0
Bing De Ortega,Bing,De Ortega,bde8w,Male,173,429,166,132,37,2,0,2,0
Olimpia Privost,Olimpia,Privost,oprivost2k,Female,460,31,1,460,0,0,0,0,0
Buiron Teers,Buiron,Teers,bteers1x,Male,330,5,0,330,0,0,0,0,0
Ellery Crace,Ellery,Crace,ecrace33,Male,22,0,0,22,0,0,0,0,0
Joelynn Pentelo,Joelynn,Pentelo,jpentelo7z,Female,1,0,0,1,0,0,0,0,0
Raddie Woodhams,Raddie,Woodhams,rwoodhamsdz,Male,202,377,117,116,84,0,2,0,0
Mitzi Phipard-Shears,Mitzi,Phipard-Shears,mphipardshearse2,Female,42,0,5,41,0,0,1,0,0
Esdras Pilcher,Esdras,Pilcher,epilcher6n,Male,177,706,186,98,77,0,2,0,0
Bunny Grube,Bunny,Grube,bgrube19,Female,7,0,0,7,0,0,0,0,0
Bjorn Childers,Bjorn,Childers,bchilderso5,Male,5,0,0,5,0,0,0,0,0
Kenny Hamshere,Kenny,Hamshere,khamshererf,Male,2,0,0,2,0,0,0,0,0
Sibilla Naisbitt,Sibilla,Naisbitt,snaisbittco,Female,91,6,6,91,0,0,0,0,0
Gustav Almond,Gustav,Almond,galmond99,Male,55,2,9,55,0,0,0,0,0
Tamma Texton,Tamma,Texton,ttextonfx,Female,156,286,76,108,42,0,6,0,0
Kessia Jeschner,Kessia,Jeschner,kjeschnerq4,Female,212,306,303,125,85,1,1,0,0
Jere Erickssen,Jere,Erickssen,jerickssen83,Female,32,0,1,32,0,0,0,0,0
Ramona Wrinch,Ramona,Wrinch,rwrinch3d,Female,192,2339,452,159,30,2,1,0,0
Dimitri Minards,Dimitri,Minards,dminardsbp,Male,3,0,0,3,0,0,0,0,0
Davide Burgoine,Davide,Burgoine,dburgoine9o,Male,1190,12,1,1190,0,0,0,0,0
Jenn Spickett,Jenn,Spickett,jspickettn,Female,87,1,1,83,2,2,0,0,0
Beauregard Gautrey,Beauregard,Gautrey,bgautrey2r,Male,1294,23,47,1294,0,0,0,0,0
Othelia Binnall,Othelia,Binnall,obinnallkn,Female,1,0,0,1,0,0,0,0,0
Grace Treby,Grace,Treby,gtrebyea,Male,174,324,31,151,21,0,2,0,0
Del MacNaughton,Del,MacNaughton,dmacnaughton7d,Female,214,528,265,136,78,0,0,0,0
Lynsey MacCroary,Lynsey,MacCroary,lmaccroary27,Female,110,21,0,102,6,1,1,0,0
Rikki Cownden,Rikki,Cownden,rcownden9o,Female,2520,64,33,2520,0,0,0,0,0
Loleta Shropsheir,Loleta,Shropsheir,lshropsheir1o,Female,209,275,129,173,35,1,0,0,0
Conroy Geertsen,Conroy,Geertsen,cgeertsen7q,Male,3,0,0,3,0,0,0,0,0
Trumann Tebbutt,Trumann,Tebbutt,ttebbuttce,Male,0,0,0,0,0,0,0,0,0
Kimbra Morfield,Kimbra,Morfield,kmorfieldak,Female,49,183,74,43,4,0,0,1,1
Kirby Lingfoot,Kirby,Lingfoot,klingfoot4v,Male,237,3958,336,166,65,2,3,1,0
Inesita Corser,Inesita,Corser,icorser86,Female,280,1043,149,195,65,16,3,0,1
Tucky Leven,Tucky,Leven,tlevenax,Male,951,6,1,951,0,0,0,0,0
Cort Dufoure,Cort,Dufoure,cdufoure15,Male,214,778,56,181,29,1,2,0,1
Celie Dziwisz,Celie,Dziwisz,cdziwiszdv,Female,25,0,4,25,0,0,0,0,0
Wylie Mallebone,Wylie,Mallebone,wmalleboneap,Male,171,408,38,143,27,1,0,0,0
Ezmeralda Donnett,Ezmeralda,Donnett,edonnettf3,Female,135,9,2,118,10,4,2,1,0
Albertine Pulster,Albertine,Pulster,apulsteraa,Female,296,656,253,168,121,1,5,1,0
Rae Ferrone,Rae,Ferrone,rferrone30,Female,1886,2059,544,1437,407,13,24,1,4
Ermanno Fisbey,Ermanno,Fisbey,efisbey5b,Male,16,5,4,15,1,0,0,0,0
Ritchie Melody,Ritchie,Melody,rmelodymu,Male,72,252,30,61,11,0,0,0,0
Parry Ofer,Parry,Ofer,poferhb,Male,384,1158,120,276,103,3,0,2,0
Sallie Staner,Sallie,Staner,sstaner1q,Female,0,0,0,0,0,0,0,0,0
Margaretta Slessor,Margaretta,Slessor,mslessornm,Female,62,263,86,54,7,1,0,0,0
Cherrita McAster,Cherrita,McAster,cmcasterii,Female,292,1425,264,162,119,2,7,1,1
Dalston Pearn,Dalston,Pearn,dpearnot,Male,208,573,252,134,71,2,1,0,0
Pate Dochon,Pate,Dochon,pdochon98,Male,440,1112,322,256,176,3,3,0,2
Stafani Kubacek,Stafani,Kubacek,skubacek8d,Female,353,0,3,353,0,0,0,0,0
Duffy Etienne,Duffy,Etienne,detiennep4,Male,39,5,1,39,0,0,0,0,0
Pauly Roger,Pauly,Roger,progerim,Male,1412,1247,739,1117,265,10,18,0,2
Lonnie Tointon,Lonnie,Tointon,ltointon94,Male,30,197,4,24,6,0,0,0,0
Koo McKilroe,Koo,McKilroe,kmckilroea9,Female,38,0,14,38,0,0,0,0,0
Gerrard Darkins,Gerrard,Darkins,gdarkinsiw,Male,125,5,0,122,3,0,0,0,0
Odell Meak,Odell,Meak,omeakqj,Male,265,5,0,265,0,0,0,0,0
Tony Looney,Tony,Looney,tlooneyff,Female,715,18,6,715,0,0,0,0,0
Debor Cartman,Debor,Cartman,dcartman48,Female,360,131,5,292,60,1,5,1,1
Frederick Sanday,Frederick,Sanday,fsandayk8,Male,130,1051,157,82,46,0,2,0,0
Nola Tither,Nola,Tither,ntitherh4,Female,174,11,0,174,0,0,0,0,0
Carola Astman,Carola,Astman,castman3m,Female,3,0,1,3,0,0,0,0,0
Florri Bulford,Florri,Bulford,fbulfordg9,Female,172,1056,258,68,100,3,1,0,0
Jo Clausen-Thue,Jo,Clausen-Thue,jclausenthue6i,Male,367,7,0,367,0,0,0,0,0
Cal Sibley,Cal,Sibley,csibleyk,Female,1,0,0,1,0,0,0,0,0
Cal Gymlett,Cal,Gymlett,cgymlett2y,Male,50,11,0,50,0,0,0,0,0
Currey Bewsy,Currey,Bewsy,cbewsy8i,Male,64,0,13,64,0,0,0,0,0
Arlee Wildor,Arlee,Wildor,awildorpa,Female,84,79,77,70,12,0,2,0,0
Bruce Loughan,Bruce,Loughan,bloughan7e,Male,565,3,83,561,3,1,0,0,0
Morris Kennewell,Morris,Kennewell,mkennewellga,Male,144,220,178,96,47,1,0,0,0
Alaric Rivenzon,Alaric,Rivenzon,arivenzon2n,Male,150,398,187,105,38,2,3,1,1
Grant Demanche,Grant,Demanche,gdemanchep1,Male,102,64,1,92,6,0,4,0,0
Emanuel Hewell,Emanuel,Hewell,ehewello7,Male,143,1366,203,101,42,0,0,0,0
Bobbie Savill,Bobbie,Savill,bsavill1h,Female,1215,1131,364,1048,162,3,1,0,1
Lisbeth Philipp,Lisbeth,Philipp,lphilippcu,Female,299,760,228,186,105,1,5,1,1
Bobbette Knowlson,Bobbette,Knowlson,bknowlson3u,Female,245,305,185,209,35,1,0,0,0
Elissa Bugge,Elissa,Bugge,ebugge4w,Female,229,3966,157,200,23,0,5,1,0
Johna Spellard,Johna,Spellard,jspellardph,Female,467,2948,496,295,161,2,4,4,1
Rhianna Allery,Rhianna,Allery,rallery66,Female,2259,5,8,2259,0,0,0,0,0
Bear Laxson,Bear,Laxson,blaxsonbn,Male,0,0,0,0,0,0,0,0,0
Thadeus Garvan,Thadeus,Garvan,tgarvanlr,Male,171,78,3,167,4,0,0,0,0
Chadwick Warburton,Chadwick,Warburton,cwarburton3d,Male,67,276,34,57,7,0,3,0,0
Bronny Sand,Bronny,Sand,bsandhi,Male,136,270,114,80,49,3,3,1,0
Catha Kevane,Catha,Kevane,ckevanea8,Female,156,847,217,116,39,0,1,0,0
Pearline Colicot,Pearline,Colicot,pcolicot39,Female,169,34,1,148,17,4,0,0,0
Colin Pickford,Colin,Pickford,cpickford6y,Male,9,0,0,9,0,0,0,0,0
Baird Leavens,Baird,Leavens,bleavensjy,Male,349,967,280,188,156,3,2,0,0
Briano Thalmann,Briano,Thalmann,bthalmannhf,Male,133,17,5,133,0,0,0,0,0
Luca Trusse,Luca,Trusse,ltrussecl,Male,304,20,24,304,0,0,0,0,0
Rosette Ebhardt,Rosette,Ebhardt,rebhardtg,Female,0,0,0,0,0,0,0,0,0
Jennie Iskowitz,Jennie,Iskowitz,jiskowitz3x,Female,3,0,0,3,0,0,0,0,0
Lorne Hollyer,Lorne,Hollyer,lhollyer24,Male,2,0,0,2,0,0,0,0,0
Cathyleen MacKeeg,Cathyleen,MacKeeg,cmackeegmt,Female,17,0,0,17,0,0,0,0,0
Daloris O'Rowane,Daloris,O'Rowane,dorowane9u,Female,111,4,0,110,1,0,0,0,0
Weylin Antram,Weylin,Antram,wantrampj,Male,2251,3,0,2251,0,0,0,0,0
Willie Poschel,Willie,Poschel,wposchel7a,Male,105,8,2,97,7,0,1,0,0
Edee Melland,Edee,Melland,emellandhx,Female,69,290,34,60,9,0,0,0,0
Phyllis Dods,Phyllis,Dods,pdodskh,Female,392,461,47,360,32,0,0,0,0
Peggi Deftie,Peggi,Deftie,pdeftie8s,Female,3,1,0,3,0,0,0,0,0
Drucy Postans,Drucy,Postans,dpostansi2,Female,236,5237,526,138,97,1,0,0,0
Bonnibelle Potapczuk,Bonnibelle,Potapczuk,bpotapczuk1f,Female,315,1050,274,164,143,3,2,1,2
Carmelle McCreery,Carmelle,McCreery,cmccreery68,Female,174,195,3,146,18,5,4,1,0
Fredra Haughian,Fredra,Haughian,fhaughian48,Female,268,1820,298,180,85,1,2,0,0
Alberta Paur,Alberta,Paur,apaurlo,Female,24,0,0,24,0,0,0,0,0
Ulrikaumeko Hurtado,Ulrikaumeko,Hurtado,uhurtado3j,Female,327,6,6,327,0,0,0,0,0
Sanders Marsland,Sanders,Marsland,smarslande3,Male,1,0,0,1,0,0,0,0,0
Gwyn Godfroy,Gwyn,Godfroy,ggodfroym0,Female,3,0,0,3,0,0,0,0,0
Elayne Eyckelberg,Elayne,Eyckelberg,eeyckelbergls,Female,50,0,0,50,0,0,0,0,0
Candice Pavluk,Candice,Pavluk,cpavlukjb,Female,249,5995,189,219,21,1,1,6,1
Ibby Empson,Ibby,Empson,iempson6h,Female,22,0,0,22,0,0,0,0,0
Eolande Spilsted,Eolande,Spilsted,espilstedg9,Female,11,0,7,11,0,0,0,0,0
Blythe Krollmann,Blythe,Krollmann,bkrollmannlt,Female,219,590,125,160,55,1,2,0,1
Justen Guilbert,Justen,Guilbert,jguilbertpc,Male,117,330,46,98,16,0,0,3,0
Jordan Stemson,Jordan,Stemson,jstemson9c,Female,205,619,239,144,59,1,0,1,0
Idaline Andriessen,Idaline,Andriessen,iandriesseney,Female,358,5498,94,294,57,1,5,1,0
Whittaker Mammatt,Whittaker,Mammatt,wmammattm9,Male,404,1129,150,328,68,4,4,0,0
Araldo Trevor,Araldo,Trevor,atrevor4c,Male,212,916,198,131,79,1,1,0,0
Hillard Maxworthy,Hillard,Maxworthy,hmaxworthy8n,Male,322,9,12,322,0,0,0,0,0
Ali Benoix,Ali,Benoix,abenoixc8,Female,265,1138,254,140,120,0,2,1,2
Tremayne Hawkswood,Tremayne,Hawkswood,thawkswood56,Male,1529,22,7,1529,0,0,0,0,0
Ingemar Huttley,Ingemar,Huttley,ihuttley4,Male,154,1138,408,128,25,1,0,0,0
Kenny Stanex,Kenny,Stanex,kstanex7f,Male,9,0,0,9,0,0,0,0,0
Celia Sango,Celia,Sango,csango66,Female,2,0,0,2,0,0,0,0,0
Douglas Mc Pake,Douglas,Mc Pake,dmcdq,Male,278,583,72,223,53,2,0,0,0
Jackelyn Gerding,Jackelyn,Gerding,jgerdingb8,Female,9,0,0,9,0,0,0,0,0
Goldi Limming,Goldi,Limming,glimmingms,Female,0,0,0,0,0,0,0,0,0
Putnem Teresa,Putnem,Teresa,pteresais,Male,1303,2153,796,969,291,32,8,1,2
Carlotta Teggart,Carlotta,Teggart,cteggart1c,Female,113,801,124,104,7,1,1,0,0
Otes Spedroni,Otes,Spedroni,ospedronih5,Male,0,0,0,0,0,0,0,0,0
Kelbee Brech,Kelbee,Brech,kbrech96,Male,483,4031,328,376,87,5,10,5,0
Henderson McPaike,Henderson,McPaike,hmcpaike8f,Male,106,3,0,104,0,2,0,0,0
Man Balmann,Man,Balmann,mbalmannbl,Male,126,5,2,126,0,0,0,0,0
Alvis Gibbie,Alvis,Gibbie,agibbielc,Male,20,0,0,20,0,0,0,0,0
Rancell Minty,Rancell,Minty,rmintyq6,Male,4,0,0,4,0,0,0,0,0
Dee Grafton-Herbert,Dee,Grafton-Herbert,dgraftonherbertm0,Female,26,7,0,26,0,0,0,0,0
Trista Battelle,Trista,Battelle,tbattelle7s,Female,180,2176,314,142,33,4,0,0,1
Ephrem Milsap,Ephrem,Milsap,emilsap49,Male,179,390,224,123,49,4,3,0,0
Joletta Kerin,Joletta,Kerin,jkerin7c,Female,358,1037,100,296,55,3,2,1,1
Misha Maillard,Misha,Maillard,mmaillard4m,Female,4,0,1,4,0,0,0,0,0
Kristi Garett,Kristi,Garett,kgarettc,Female,46,0,10,44,1,0,1,0,0
